100,1,Running Alley Oop Layup Shot (Made),5
100,2,Running Alley Oop Layup Shot (Miss or Block),6
101,1,Driving Floating Jump Shot (Made),1
101,2,Driving Floating Jump Shot (Miss or Block),2
102,1,Driving Floating Bank Jump Shot (Made),1
102,2,Driving Floating Bank Jump Shot (Miss or Block),2
103,1,Running Pull-Up Jump Shot (Made),1
103,2,Running Pull-Up Jump Shot (Miss or Block),2
104,1,Step Back Bank Jump Shot (Made),1
104,2,Step Back Bank Jump Shot (Miss or Block),2
105,1,Turnaround Fadeaway Bank Jump Shot (Made),1
105,2,Turnaround Fadeaway Bank Jump Shot (Miss or Block),2
106,1,Running Alley Oop Dunk Shot (Made),7
106,2,Running Alley Oop Dunk Shot (Miss or Block),8
107,1,Tip Dunk Shot (Made),7
107,2,Tip Dunk Shot (Miss or Block),8
108,1,Cutting Dunk Shot (Made),7
108,2,Cutting Dunk Shot (Miss or Block),8
109,1,Driving Reverse Dunk Shot (Made),7
109,2,Driving Reverse Dunk Shot (Miss or Block),8
110,1,Running Reverse Dunk Shot (Made),7
2,7,Defensive Goaltending Violation,0
3,7,Lane Violation,0
4,7,Jump Ball Violation,0
5,7,Kicked Ball Violation,0
6,7,Double Lane Violation,0
1,9,Timeout: Regular,0
4,11,Ejection: Other,0
1,18,?,0
2,18,?,0
